Страна,ВВП,Отношение к общему ВВП (%),Население,Отношение к общему населению (%),ВВП на душу населения,Скорость обращения накоплений(x100),Промежуточное потребление,Доля промышленности,Стоимость гос. субсидий,Доля субсируемых предприятий (%),Средняя доходность предприятия,Средняя рентабельность предприятия (%),Индекс Джини,Валовый выпуск,Занятость на фабриках,Безработица на заводах,Средняя занятость добывающего сектора,Безработица на добывающем секторе,Средняя з/п рабочего на фабрике,Средний доход капиталиста,Общее число рабочего населения,Количество свободных рабочих мест на фабриках,Грамотность,Диверсифицированность экономики,Наземный бюджет,Иновационность армии,Морской бюджет,Иновационность флота,Золотой запас,Золотодобыча,Доля ввп в 4-x крупнейших регионах,Размер страны в регионах,Экономическая плотность (ввп на регион),Плотность населения (население на регион),Тип правления,Общая денежная масса,Средние сбережения населения,Запасы гос.банка
URU,203,0.04,1839628,0.09,11.035,22.38,10,0.0,0.0,0.0,0.0,0.0,0.407,569,0,100.0,323800.0,4.15,0.0,0.0,323800.0,40000,84.26,3.206,11,40.0,2,16.0,0.0,0,1.0,1,203.0,1839628.0,democracy,907.08,0.072,774.08
PNB,198,0.04,1835536,0.09,10.787,0.051,7,0.0,0.0,0.0,0.0,0.0,0.403,339,8940,67.93,364269.0,5.64,0.0,0.0,373209.0,51060,19.01,1.77,39,40.0,30,8.0,385430.297,0,1.0,1,198.0,1835536.0,democracy,385542.297,0.061,0.0
ELS,196,0.04,1437556,0.07,13.634,2.527,10,0.0,4.192,33.33,-3.395,-61.3,0.213,384,8413,74.5,282635.0,0.38,0.474,8.0,291048.0,41587,69.78,0.164,11,40.0,0,14.0,7649.261,0,1.0,1,196.0,1437556.0,democracy,7757.101,0.074,0.84
GEO,194,0.04,1305576,0.06,14.859,0.046,27,0.0,0.0,0.0,-5.663,-76.1,0.436,316,16022,14.31,247770.0,9.06,0.0,-1.1,263792.0,73978,39.44,0.057,32,40.0,12,14.0,418445.29,0,1.0,1,194.0,1305576.0,absolute_monarchy,418685.47,0.064,156.18
LIB,191,0.04,1751340,0.08,10.906,1.442,53,0.0,0.0,0.0,-13.707,-81.3,0.506,372,8876,18.65,342564.0,1.67,0.452,64.0,351440.0,41124,32.22,0.058,25,34.0,20,2.0,13131.233,0,1.0,1,191.0,1751340.0,fascist_dictatorship,13241.033,0.061,2.8
YNN,189,0.04,8386640,0.4,2.254,0.003,90,0.0,19.292,50.0,-10.373,-40.9,0.345,1772,27653,41.92,1758649.0,1.31,0.0,0.0,1786302.0,22347,15.49,0.058,322,26.0,0,10.0,5537880.382,538,1.0,1,189.0,8386640.0,fascist_dictatorship,5538494.702,0.073,0.32
GUY,187,0.04,762440,0.04,24.527,0.141,84,0.29,0.0,0.0,16.914,40.9,0.587,373,14811,72.96,106342.0,2.94,7.133,1923.9,121153.0,55189,82.12,0.003,55,40.0,6,32.0,132393.461,0,0.893,1,187.0,762440.0,democracy,132532.711,0.182,0.25
TNZ,186,0.04,6329924,0.3,2.938,0.056,10,0.0,0.0,0.0,0.0,0.0,0.294,508,0,0.0,1297495.0,9.98,0.0,0.0,1297495.0,0,53.62,3.562,10,6.0,19,0.0,330891.737,0,1.0,3,62.0,2109974.0,democracy,331045.857,0.024,0.12
MCK,178,0.04,5360860,0.26,3.32,133.736,10,0.0,0.0,0.0,-0.696,-36.6,0.119,464,675,22.86,1199878.0,0.0,0.207,0.0,1200553.0,39325,20.24,0.337,0,18.0,0,12.0,0.088,0,1.0,1,178.0,5360860.0,prussian_constitutionalism,133.098,0.025,0.01
AFG,177,0.04,5600508,0.27,3.16,45.592,20,0.0,0.0,0.0,0.0,0.0,0.49,502,0,0.0,1226800.0,0.0,0.0,0.0,1226800.0,0,20.37,3.345,33,6.0,0,0.0,253.178,0,0.994,2,88.5,2800254.0,absolute_monarchy,388.228,0.024,0.05
